Subject,Run,Volume,File,HD (mm)
2150-T1,run1,vol0239,('test-GT-masks-WSU/binary/bin_mask_zpr_2150-T1_run1_vol0239.nii.gz',7
2150-T1,run1,vol0270,('test-GT-masks-WSU/binary/bin_mask_zpr_2150-T1_run1_vol0270.nii.gz',7.826237921
2150-T1,run1,vol0305,('test-GT-masks-WSU/binary/bin_mask_zpr_2150-T1_run1_vol0305.nii.gz',7.826237921
2150-T1,run1,vol0330,('test-GT-masks-WSU/binary/bin_mask_zpr_2150-T1_run1_vol0330.nii.gz',7
2152-T1,run1,vol0025,('test-GT-masks-WSU/binary/bin_mask_zpr_2152-T1_run1_vol0025.nii.gz',7
2152-T1,run1,vol0110,('test-GT-masks-WSU/binary/bin_mask_zpr_2152-T1_run1_vol0110.nii.gz',7
2152-T1,run1,vol0125,('test-GT-masks-WSU/binary/bin_mask_zpr_2152-T1_run1_vol0125.nii.gz',7.826237921
2152-T1,run1,vol0215,('test-GT-masks-WSU/binary/bin_mask_zpr_2152-T1_run1_vol0215.nii.gz',11.60818677
2152-T1,run1,vol0240,('test-GT-masks-WSU/binary/bin_mask_zpr_2152-T1_run1_vol0240.nii.gz',10.5
2152-T1,run1,vol0350,('test-GT-masks-WSU/binary/bin_mask_zpr_2152-T1_run1_vol0350.nii.gz',10.5
2157-T1,run1,vol0028,('test-GT-masks-WSU/binary/bin_mask_zpr_2157-T1_run1_vol0028.nii.gz',7
2157-T1,run1,vol0112,('test-GT-masks-WSU/binary/bin_mask_zpr_2157-T1_run1_vol0112.nii.gz',7.826237921
2157-T1,run1,vol0180,('test-GT-masks-WSU/binary/bin_mask_zpr_2157-T1_run1_vol0180.nii.gz',7
2157-T1,run1,vol0333,('test-GT-masks-WSU/binary/bin_mask_zpr_2157-T1_run1_vol0333.nii.gz',7.826237921
2157-T1,run1,vol0350,('test-GT-masks-WSU/binary/bin_mask_zpr_2157-T1_run1_vol0350.nii.gz',7.826237921
2160-T1,run1,vol0025,('test-GT-masks-WSU/binary/bin_mask_zpr_2160-T1_run1_vol0025.nii.gz',119.8206994
