Subject,Run,Volume,File,Dice,Jaccard
2157-T1,run1,vol0028,('test-GT-masks-WSU/binary/bin_mask_zpr_2157-T1_run1_vol0028.nii.gz',0.955147207,0.914145231
2157-T1,run1,vol0112,('test-GT-masks-WSU/binary/bin_mask_zpr_2157-T1_run1_vol0112.nii.gz',0.92623198,0.86259979
2157-T1,run1,vol0180,('test-GT-masks-WSU/binary/bin_mask_zpr_2157-T1_run1_vol0180.nii.gz',0.929795027,0.868800879
2157-T1,run1,vol0333,('test-GT-masks-WSU/binary/bin_mask_zpr_2157-T1_run1_vol0333.nii.gz',0.942818344,0.891822517
2157-T1,run1,vol0350,('test-GT-masks-WSU/binary/bin_mask_zpr_2157-T1_run1_vol0350.nii.gz',0.938637912,0.884371042
2160-T1,run1,vol0025,('test-GT-masks-WSU/binary/bin_mask_zpr_2160-T1_run1_vol0025.nii.gz',0.945932508,0.897411704
2160-T1,run1,vol0039,('test-GT-masks-WSU/binary/bin_mask_zpr_2160-T1_run1_vol0039.nii.gz',0.949173689,0.903264105
2160-T1,run1,vol0085,('test-GT-masks-WSU/binary/bin_mask_zpr_2160-T1_run1_vol0085.nii.gz',0.945726931,0.897041678
2160-T1,run1,vol0115,('test-GT-masks-WSU/binary/bin_mask_zpr_2160-T1_run1_vol0115.nii.gz',0.945578218,0.896774173
2160-T1,run1,vol0230,('test-GT-masks-WSU/binary/bin_mask_zpr_2160-T1_run1_vol0230.nii.gz',0.942293823,0.890884221
2160-T1,run1,vol0300,('test-GT-masks-WSU/binary/bin_mask_zpr_2160-T1_run1_vol0300.nii.gz',0.939647913,0.886166036
2161-T1,run1,vol0018,('test-GT-masks-WSU/binary/bin_mask_zpr_2161-T1_run1_vol0018.nii.gz',0.949433267,0.903734267
2161-T1,run1,vol0045,('test-GT-masks-WSU/binary/bin_mask_zpr_2161-T1_run1_vol0045.nii.gz',0.952124059,0.908622921
